Key,Type,Desc,Українська
AllLayers_apply_order,Text,,"Всі шари"
All_apply_order,Text,,"Застосувати до всіх"
Awful,Text,,"Жахливий"
BlankBehaviour,Text,,"За замовчуванням"
Blueprints_apply_order,Text,,"Фаза планування"
BuildingWealth_info,Text,,"Сукупна вартість усіх будівель з часом"
BuildingWealth_title,Text,,"Вартість будівель"
Day Time,Text,,"Час дня"
DefaultFont,Text,,"UIResources/Base/Fonts/DefaultFont"
Dull,Text,,"Непримітний"
EnemyBehaviour,Text,,"Ворог"
ExtremelyImpressive,Text,,"Палацово розкішний"
FoodAmount_info,Text,,"Загальна кількість запасів харчів з часом"
FoodAmount_title,Text,,"Запаси харчів"
Foundations_apply_order,Text,,"Фаза будівництва"
Good,Text,,"Добрий"
Inebriated_effector,Text,,"Сп’янілий"
InfluenceAmount_info,Text,,"Зі зростанням поселення зростає і ваш вплив у регіоні.\n\nЩоб здобути вплив, ви повинні накопичувати багатства через ресурси та будівництво.\nПеремоги у битвах та відбиття нападів збільшують ваш вплив ще швидше.\n\nДосягнувши 100% впливу, ваше поселення стане найвпливовішим у регіоні."
InfluenceAmount_title,Text,,"Вплив"
Mediocre,Text,,"Посередній"
MoodAverage_info,Text,,"Середній настрій з часом"
MoodAverage_title,Text,,"Настрій поселенців"
Piles_apply_order,Text,,"Ресурс"
PopulationCount_info,Text,,"Кількість поселенців з часом"
PopulationCount_title,Text,,"Кількість населення"
ResourceWealth_info,Text,,"Сукупна вартість усіх ресурсів з часом"
ResourceWealth_title,Text,,"Вартість ресурсів"
Seasons,Text,,"Пори року"
Set Autumn,Text,,"Встановити осінь"
Set Dawn,Text,,"Встановити світанок"
Set Dusk,Text,,"Встановити сутінки"
Set Midnight,Text,,"Встановити північ"
Set Noon,Text,,"Встановити полудень"
Set Spring,Text,,"Встановити весну"
Set Summer,Text,,"Встановити літо"
Set Winter,Text,,"Встановити зиму"
Set fog,Text,,"Туман"
Set rain,Text,,"Починається дощ"
Set snow,Text,,"Починається сніг"
SingleLayer_apply_order,Text,,"Один шар"
SlightlyImpressive,Text,,"Покращений"
SomewhatImpressive,Text,,"Розкішний"
TitleFont,Text,,"UIResources/Base/Fonts/DefaultFonts/Almendra-Bold SDF"
TotalWealth_info,Text,,"Сукупна вартість ресурсів та будівель з часом"
TotalWealth_title,Text,,"Загальне багатство"
TraderBehaviour,Text,,"Торговець"
TraderBodyguardBehaviour,Text,,"Охоронець торговця"
VeryImpressive,Text,,"Розкішний"
Weather,Text,,"Погода"
abort_event_participation_confirm,Text,,"Достроковий вихід з події може призвести до негативних модифікаторів настрою для цього поселенця. Ви впевнені, що хочете продовжити?"
action_AbortEventParticipation,Text,,"Покинути подію"
action_ExpandZone,Text,,"Розширити зону"
action_RecruitPrisoner,Text,,"Вербувати"
